pizza_id,order_id,pizza_name_id,quantity,order_date,order_time,unit_price,total_price,pizza_size,pizza_category,pizza_name
1,1,hawaiian_m,1,01-01-2015,11:38:36,13.25,13.25,M,Classic,The Hawaiian Pizza
2,2,classic_dlx_m,1,01-01-2015,11:57:40,16.0,16.0,M,Classic,The Classic Deluxe Pizza
3,2,five_cheese_l,1,01-01-2015,11:57:40,18.5,18.5,L,Veggie,The Five Cheese Pizza
4,2,ital_supr_l,1,01-01-2015,11:57:40,20.75,20.75,L,Supreme,The Italian Supreme Pizza
5,2,mexicana_m,1,01-01-2015,11:57:40,16.0,16.0,M,Veggie,The Mexicana Pizza
6,2,thai_ckn_l,1,01-01-2015,11:57:40,20.75,20.75,L,Chicken,The Thai Chicken Pizza
7,3,ital_supr_m,1,01-01-2015,12:12:28,16.5,16.5,M,Supreme,The Italian Supreme Pizza
8,3,prsc_argla_l,1,01-01-2015,12:12:28,20.75,20.75,L,Supreme,The Prosciutto and Arugula Pizza
9,4,ital_supr_m,1,01-01-2015,12:16:31,16.5,16.5,M,Supreme,The Italian Supreme Pizza
10,5,ital_supr_m,1,01-01-2015,12:21:30,16.5,16.5,M,Supreme,The Italian Supreme Pizza
11,6,bbq_ckn_s,1,01-01-2015,12:29:36,12.75,12.75,S,Chicken,The Barbecue Chicken Pizza
12,6,the_greek_s,1,01-01-2015,12:29:36,12.0,12.0,S,Classic,The Greek Pizza
13,7,spinach_supr_s,1,01-01-2015,12:50:37,12.5,12.5,S,Supreme,The Spinach Supreme Pizza
14,8,spinach_supr_s,1,01-01-2015,12:51:37,12.5,12.5,S,Supreme,The Spinach Supreme Pizza
15,9,classic_dlx_s,1,01-01-2015,12:52:01,12.0,12.0,S,Classic,The Classic Deluxe Pizza
16,9,green_garden_s,1,01-01-2015,12:52:01,12.0,12.0,S,Veggie,The Green Garden Pizza
17,9,ital_cpcllo_l,1,01-01-2015,12:52:01,20.5,20.5,L,Classic,The Italian Capocollo Pizza
18,9,ital_supr_l,1,01-01-2015,12:52:01,20.75,20.75,L,Supreme,The Italian Supreme Pizza
19,9,ital_supr_s,1,01-01-2015,12:52:01,12.5,12.5,S,Supreme,The Italian Supreme Pizza
20,9,mexicana_s,1,01-01-2015,12:52:01,12.0,12.0,S,Veggie,The Mexicana Pizza
21,9,spicy_ital_l,1,01-01-2015,12:52:01,20.75,20.75,L,Supreme,The Spicy Italian Pizza
22,9,spin_pesto_l,1,01-01-2015,12:52:01,20.75,20.75,L,Veggie,The Spinach Pesto Pizza
23,9,veggie_veg_s,1,01-01-2015,12:52:01,12.0,12.0,S,Veggie,The Vegetables + Vegetables Pizza
24,10,mexicana_l,1,01-01-2015,13:00:15,20.25,20.25,L,Veggie,The Mexicana Pizza
25,10,southw_ckn_l,1,01-01-2015,13:00:15,20.75,20.75,L,Chicken,The Southwest Chicken Pizza
26,11,bbq_ckn_l,1,01-01-2015,13:02:59,20.75,20.75,L,Chicken,The Barbecue Chicken Pizza
27,11,cali_ckn_l,1,01-01-2015,13:02:59,20.75,20.75,L,Chicken,The California Chicken Pizza
28,11,cali_ckn_m,1,01-01-2015,13:02:59,16.75,16.75,M,Chicken,The California Chicken Pizza
29,11,pepperoni_l,1,01-01-2015,13:02:59,15.25,15.25,L,Classic,The Pepperoni Pizza
30,12,cali_ckn_l,1,01-01-2015,13:04:41,20.75,20.75,L,Chicken,The California Chicken Pizza
31,12,cali_ckn_s,1,01-01-2015,13:04:41,12.75,12.75,S,Chicken,The California Chicken Pizza
32,12,ckn_pesto_l,1,01-01-2015,13:04:41,20.75,20.75,L,Chicken,The Chicken Pesto Pizza
33,12,ital_supr_m,1,01-01-2015,13:04:41,16.5,16.5,M,Supreme,The Italian Supreme Pizza
34,13,mexicana_l,1,01-01-2015,13:11:55,20.25,20.25,L,Veggie,The Mexicana Pizza
35,14,the_greek_s,1,01-01-2015,13:14:19,12.0,12.0,S,Classic,The Greek Pizza
36,15,big_meat_s,1,01-01-2015,13:33:00,12.0,12.0,S,Classic,The Big Meat Pizza
37,15,five_cheese_l,1,01-01-2015,13:33:00,18.5,18.5,L,Veggie,The Five Cheese Pizza
38,15,soppressata_l,1,01-01-2015,13:33:00,20.75,20.75,L,Supreme,The Soppressata Pizza
39,15,the_greek_s,1,01-01-2015,13:33:00,12.0,12.0,S,Classic,The Greek Pizza
40,16,four_cheese_l,1,01-01-2015,13:34:07,17.95,17.95,L,Veggie,The Four Cheese Pizza
41,16,napolitana_s,1,01-01-2015,13:34:07,12.0,12.0,S,Classic,The Napolitana Pizza
42,16,thai_ckn_l,1,01-01-2015,13:34:07,20.75,20.75,L,Chicken,The Thai Chicken Pizza
43,17,bbq_ckn_l,1,01-01-2015,13:53:00,20.75,20.75,L,Chicken,The Barbecue Chicken Pizza
44,17,calabrese_m,1,01-01-2015,13:53:00,16.25,16.25,M,Supreme,The Calabrese Pizza
45,17,five_cheese_l,1,01-01-2015,13:53:00,18.5,18.5,L,Veggie,The Five Cheese Pizza
46,17,four_cheese_m,1,01-01-2015,13:53:00,14.75,14.75,M,Veggie,The Four Cheese Pizza
47,17,ital_supr_m,1,01-01-2015,13:53:00,16.5,16.5,M,Supreme,The Italian Supreme Pizza
48,17,ital_veggie_s,1,01-01-2015,13:53:00,12.75,12.75,S,Veggie,The Italian Vegetables Pizza
49,17,mediterraneo_m,2,01-01-2015,13:53:00,16.0,32.0,M,Veggie,The Mediterranean Pizza
50,17,mexicana_l,1,01-01-2015,13:53:00,20.25,20.25,L,Veggie,The Mexicana Pizza
51,17,peppr_salami_s,1,01-01-2015,13:53:00,12.5,12.5,S,Supreme,The Pepper Salami Pizza
52,17,spinach_fet_l,1,01-01-2015,13:53:00,20.25,20.25,L,Veggie,The Spinach and Feta Pizza
53,18,napolitana_l,1,01-01-2015,13:57:08,20.5,20.5,L,Classic,The Napolitana Pizza
54,19,ital_cpcllo_l,1,01-01-2015,13:59:09,20.5,20.5,L,Classic,The Italian Capocollo Pizza
55,19,sicilian_l,1,01-01-2015,13:59:09,20.25,20.25,L,Supreme,The Sicilian Pizza
56,20,big_meat_s,1,01-01-2015,14:03:08,12.0,12.0,S,Classic,The Big Meat Pizza
57,20,five_cheese_l,1,01-01-2015,14:03:08,18.5,18.5,L,Veggie,The Five Cheese Pizza
58,21,ital_cpcllo_l,1,01-01-2015,14:14:29,20.5,20.5,L,Classic,The Italian Capocollo Pizza
59,22,five_cheese_l,1,01-01-2015,14:16:26,18.5,18.5,L,Veggie,The Five Cheese Pizza
60,22,ital_cpcllo_m,1,01-01-2015,14:16:26,16.0,16.0,M,Classic,The Italian Capocollo Pizza
61,22,southw_ckn_l,1,01-01-2015,14:16:26,20.75,20.75,L,Chicken,The Southwest Chicken Pizza
62,23,southw_ckn_s,1,01-01-2015,14:19:03,12.75,12.75,S,Chicken,The Southwest Chicken Pizza
63,24,bbq_ckn_m,1,01-01-2015,14:23:01,16.75,16.75,M,Chicken,The Barbecue Chicken Pizza
64,24,ital_cpcllo_m,1,01-01-2015,14:23:01,16.0,16.0,M,Classic,The Italian Capocollo Pizza
65,24,pepperoni_m,1,01-01-2015,14:23:01,12.5,12.5,M,Classic,The Pepperoni Pizza
66,24,prsc_argla_s,1,01-01-2015,14:23:01,12.5,12.5,S,Supreme,The Prosciutto and Arugula Pizza
67,25,sicilian_m,1,01-01-2015,14:44:44,16.25,16.25,M,Supreme,The Sicilian Pizza
68,25,thai_ckn_l,1,01-01-2015,14:44:44,20.75,20.75,L,Chicken,The Thai Chicken Pizza
69,26,classic_dlx_s,1,01-01-2015,14:54:26,12.0,12.0,S,Classic,The Classic Deluxe Pizza
70,26,veggie_veg_l,1,01-01-2015,14:54:26,20.25,20.25,L,Veggie,The Vegetables + Vegetables Pizza
71,27,bbq_ckn_l,1,01-01-2015,15:11:17,20.75,20.75,L,Chicken,The Barbecue Chicken Pizza
72,27,classic_dlx_m,1,01-01-2015,15:11:17,16.0,16.0,M,Classic,The Classic Deluxe Pizza
